crsp_fundno,windows,alpha_mean_annual,alpha_median_annual,alpha_std_annual,alpha_positive_share,alpha_negative_share,consistency_score
4717,98,0.00019696007417953408,-0.004181809565711479,0.022519290628481306,0.3979591836734694,0.6020408163265306,0.0034805088277867925
4905,98,0.007426850227900543,0.0022511409570145835,0.031876998271845425,0.5204081632653061,0.47959183673469385,0.12124329303831462
5079,98,-0.0030880935134351252,-0.0034890220409634267,0.02294971917416838,0.47959183673469385,0.5204081632653061,-0.0645306331743964
5846,89,0.022465967698266805,0.030729279314836565,0.03922081215413528,0.7191011235955056,0.2808988764044944,0.41189587444344256
7826,98,0.0006130359626106028,-0.0014890086804580666,0.022246760782822683,0.4897959183673469,0.5102040816326531,0.013496302627044652
9980,98,-0.001232075486672103,-0.020810080669546697,0.07793582903389619,0.20408163265306123,0.7959183673469388,-0.0032262536208972534
10063,79,-0.032650304589841125,-0.03224737396023361,0.014854936597293308,0.0,1.0,-0.0
11809,98,0.003864536204994853,0.002972250434783069,0.025333180503910993,0.5408163265306123,0.45918367346938777,0.08249740992439929
11974,98,0.01732189116541972,0.012656623369705643,0.03355555232690568,0.673469387755102,0.32653061224489793,0.34764487496476526
11980,98,0.007286177551332397,0.00787180980911164,0.02479101856342586,0.6122448979591837,0.3877551020408163,0.1799339178460009
12009,98,0.01865104186714179,0.023554999547166954,0.024239227992291775,0.7142857142857143,0.2857142857142857,0.5495894166705236
12017,98,0.033349736109109754,0.02780924186028293,0.06835735029628576,0.7244897959183674,0.2755102040816326,0.35345416328651724
12026,98,0.022216838890222062,0.02252468201215717,0.04724553397303628,0.6530612244897959,0.3469387755102041,0.3070903786978582
13216,98,0.0006593768515807375,-0.0016757994740739968,0.019817075779832626,0.4489795918367347,0.5510204081632653,0.014938218673609843
14031,98,0.004167182536356001,-0.0016856697594608504,0.027753279994989787,0.4489795918367347,0.5510204081632653,0.0674123023411177
19609,98,0.014348543428711242,0.005043988283040205,0.03018408283958894,0.6326530612244898,0.3673469387755102,0.30073298034421836
21120,98,0.014499551698265953,0.011232270881548222,0.04501895873296259,0.6428571428571429,0.35714285714285715,0.2070446228692777
22641,98,-0.0018763609480980706,-0.013713081762999391,0.05392988341769355,0.32653061224489793,0.673469387755102,-0.011360638846384446
24805,89,0.02495079373794319,0.019039735295716703,0.05085964845109427,0.6179775280898876,0.38202247191011235,0.30316227393131157
24833,73,-0.00013122243594527859,0.00475446353543923,0.02520938861070714,0.6027397260273972,0.3972602739726027,-0.0031373167749073573
26970,98,0.002109203969873446,0.002575010747511744,0.011638806414194564,0.5918367346938775,0.40816326530612246,0.10724442880862488
26982,98,0.001974757711107778,0.0005558924599839019,0.008361491923661105,0.5510204081632653,0.4489795918367347,0.13012052028646726
26985,98,-0.001149385388132031,-0.0019639458336796027,0.0193037377379656,0.4489795918367347,0.5510204081632653,-0.026731810057783738
26998,98,0.01858859094389478,0.023032831314907975,0.03944099746538517,0.7448979591836735,0.25510204081632654,0.35106242959320966
27045,98,0.006708474504518439,0.011364361826994396,0.027835773078871674,0.6122448979591837,0.3877551020408163,0.1475468897505974
27354,74,-0.008325874598024747,-0.0023334263391424134,0.028686296557432087,0.43243243243243246,0.5675675675675675,-0.12550426971545645
30782,98,-0.018434225691249025,-0.02114093285177969,0.02070587213365761,0.23469387755102042,0.7653061224489796,-0.2089354625461566
31187,98,-0.00790552622107571,0.008069319906283312,0.04671346848729686,0.6632653061224489,0.336734693877551,-0.11224490910148513
31208,86,-0.0060503555374064105,-0.003567935073166001,0.021301765889020687,0.3953488372093023,0.6046511627906976,-0.11228593690030224
31217,98,0.0037393776831205943,0.0023605887316786017,0.014769353650571549,0.5714285714285714,0.42857142857142855,0.14466730438880168
31235,98,0.01290960093096441,0.015771361591754164,0.01570281368324227,0.826530612244898,0.17346938775510204,0.6794642738721229
31298,67,-0.012683554274930222,-0.014270437138989234,0.010063480070387869,0.16417910447761194,0.835820895522388,-0.20690334402649171
31302,98,0.02522070326161103,0.027318507645838777,0.045856800887562325,0.7244897959183674,0.2755102040816326,0.39845221108014567
31304,98,0.015370867490509772,0.018012332356055146,0.01958271789939145,0.7959183673469388,0.20408163265306123,0.62470036693762
31363,75,0.02665109951600063,0.03319746426326705,0.027131822451606988,0.8133333333333334,0.18666666666666668,0.798893209322695
31456,89,0.0052877511520549435,0.0028087251400350723,0.012043540482140663,0.651685393258427,0.34831460674157305,0.28610059421438233
31461,89,-0.0006531218388008518,-0.0002590186848643937,0.004345079442158839,0.4606741573033708,0.5393258426966292,-0.06922937252075524
31462,89,-0.0008346706136524454,-0.0005385757980420915,0.0023209915988011156,0.3595505617977528,0.6404494382022472,-0.12924520838480288
31950,98,0.014884127094056863,-0.0031715925471189213,0.07859500818161341,0.45918367346938777,0.5408163265306123,0.08695795516283146
31959,98,0.001103849344864124,0.0003460475282561453,0.01307404337000907,0.5102040816326531,0.4897959183673469,0.043073542880096426
36540,61,-0.02488537352447673,-0.027636145736034113,0.023814032688991956,0.16393442622950818,0.8360655737704918,-0.17130228135810158
52301,47,0.0006219720088627814,0.0004685442518831321,0.0045983180918620125,0.5531914893617021,0.44680851063829785,0.07480883362533355
52819,46,0.022630290876126346,0.026542081201077247,0.011541579098775935,0.9782608695652174,0.021739130434782608,1.917970658164334
52832,46,-0.010911884495500008,-0.014095047094578754,0.038552989116139746,0.391304347826087,0.6086956521739131,-0.11075035149288191
53175,46,-0.002298558578320525,-0.0027126473834712703,0.002248296445868031,0.17391304347826086,0.8260869565217391,-0.1777219355426131
64961,29,0.029199501977669223,0.03821282844570703,0.05927546814148218,0.6551724137931034,0.3448275862068966,0.3227369779623933
87002,28,0.02294418614962037,0.04143905392451688,0.04365890066744402,0.6071428571428571,0.39285714285714285,0.31906620310031064
91487,23,-0.032846665737749976,-0.03506314220208226,0.024916638356525155,0.13043478260869565,0.8695652173913043,-0.1719403598215387
93577,19,-0.00545099320282928,-0.009556265019417977,0.01988447832063519,0.3684210526315789,0.631578947368421,-0.10099131744746467
